prim,Prime.result,target,congruent,operand,distance,subject,rt,OT,subjective.0.is.unaware,presentation_time,addition.place,counter.balance,exclude_from_analysis
8,8,9,no,A,-1,1,597,0.587301587,0,1700,1,1,FALSE
9,9,11,no,A,-2,1,699,0.587301587,0,1700,1,1,FALSE
8,8,12,no,A,-4,1,700,0.587301587,0,1700,1,1,FALSE
10,10,12,no,A,-2,1,628,0.587301587,0,1700,1,1,FALSE
12,12,11,no,A,1,1,768,0.587301587,0,1700,1,1,FALSE
13,13,12,no,A,1,1,595,0.587301587,0,1700,1,1,FALSE
12,12,11,no,A,1,1,664,0.587301587,0,1700,1,1,FALSE
11,11,10,no,A,1,1,803,0.587301587,0,1700,1,1,FALSE
12,12,11,no,A,1,1,767,0.587301587,0,1700,1,1,FALSE
13,13,9,no,A,4,1,700,0.587301587,0,1700,1,1,FALSE
10,10,12,no,A,-2,1,596,0.587301587,0,1700,1,1,FALSE
13,13,11,no,A,2,1,841,0.587301587,0,1700,1,1,FALSE
9,9,12,no,A,-3,1,664,0.587301587,0,1700,1,1,FALSE
11,11,12,no,A,-1,1,737,0.587301587,0,1700,1,1,FALSE
10,10,14,no,A,-4,1,596,0.587301587,0,1700,1,1,FALSE
9,9,10,no,A,-1,1,1048,0.587301587,0,1700,1,1,FALSE
12,12,10,no,A,2,1,628,0.587301587,0,1700,1,1,FALSE
14,14,13,no,A,1,1,664,0.587301587,0,1700,1,1,FALSE
11,11,12,no,A,-1,1,737,0.587301587,0,1700,1,1,FALSE
12,12,8,no,A,4,1,1048,0.587301587,0,1700,1,1,FALSE
12,12,9,no,A,3,1,700,0.587301587,0,1700,1,1,FALSE
13,13,10,no,A,3,1,840,0.587301587,0,1700,1,1,FALSE
9,9,10,no,A,-1,1,560,0.587301587,0,1700,1,1,FALSE
11,11,12,no,A,-1,1,699,0.587301587,0,1700,1,1,FALSE
12,12,13,no,A,-1,1,737,0.587301587,0,1700,1,1,FALSE
13,13,12,no,A,1,1,736,0.587301587,0,1700,1,1,FALSE
9,9,14,no,A,-5,1,840,0.587301587,0,1700,1,1,FALSE
10,10,11,no,A,-1,1,873,0.587301587,0,1700,1,1,FALSE
